Source,Target,Weight
수강,으로,117
대학,이하,113
언어,으로,140
대학,언어,171
언어,이다,102
새내기,으로,123
대학,새내기,163
김모,대학,102
입학,있다,249
대학생,입학,122
입학,했다,207
비대,입학,182
에서,입학,333
입학,코로나,210
19,입학,128
으로,입학,528
입학,지난해,137
교수,입학,112
소통,입학,135
입학,하는,275
입학,확대,102
대학,입학,521
실습,입학,151
입학,있는,216
입학,지난,102
입학,하고,274
이다,입학,345
입학,취업,285
공간,입학,125
입학,학번,108
입학,졸업,105
시대,입학,146
입학,학과,156
신입생,입학,187
선린대,입학,130
계열,입학,138
사회,입학,155
예정,입학,118
역량,입학,130
입학,지원,262
입학,전문,157
교육,입학,217
입학,평가,101
계획,입학,144
입학,지역,127
다양한,입학,230
입학,통해,183
국내,입학,103
메타,입학,377
버스,입학,397
이프,입학,338
랜드,입학,338
SKT,입학,234
입학,플랫폼,166
대표,입학,114
이용자,입학,130
서비스,입학,122
생각,있다,182
생각,했다,204
생각,에서,203
생각,코로나,143
생각,으로,327
교수,생각,125
생각,하는,215
대학,생각,387
생각,있는,114
생각,하고,200
생각,이다,173
생각,취업,185
생각,학과,144
생각,신입생,114
사회,생각,154
생각,지원,269
사업,생각,100
생각,전문,123
교육,생각,280
생각,평가,112
생각,지역,122
메타,생각,116
버스,생각,141
생각,이프,104
랜드,생각,104
대학생,코로나,107
교수,대학생,175
대학생,하는,210
대학,대학생,474
대학생,있다,207
대학생,있는,119
대학생,하고,199
대학생,이다,204
대학생,취업,221
대학생,학과,206
대학생,신입생,116
대학생,역량,114
대학생,지원,402
대학생,사업,101
대학생,전문,194
교육,대학생,346
대학생,혁신,129
대학생,평가,155
대학생,지역,115
다양한,대학생,117
대학생,인재,111
대학생,정보,114
대학생,통해,105
대학생,프로그램,130
대학생,직업,116
대학생,사람,100
김씨,대학생,132
대학생,운영,119
대학생,메타,174
대학생,버스,224
대학생,이프,156
대학생,랜드,156
SKT,대학생,108
대학생,제공,128
대학생,문화,100
에서,이모,118
이모,코로나,111
으로,이모,214
이모,하는,122
이모,했다,119
대학,이모,267
이모,있다,120
이모,하고,121
이다,이모,129
비대,에서,312
비대,코로나,193
19,비대,118
비대,으로,504
비대,지난해,135
비대,소통,127
비대,하는,271
비대,확대,102
비대,했다,239
대학,비대,458
비대,실습,150
비대,있다,231
비대,있는,195
비대,하고,239
비대,이다,318
비대,취업,272
공간,비대,119
비대,학번,116
비대,졸업,118
비대,시대,152
비대,학과,126
비대,신입생,204
비대,선린대,130
계열,비대,140
비대,사회,167
비대,예정,105
비대,역량,125
비대,지원,190
비대,전문,126
교육,비대,213
비대,학기,102
계획,비대,141
비대,지역,131
다양한,비대,214
비대,통해,166
비대,상황,102
국내,비대,102
메타,비대,377
버스,비대,382
비대,이프,338
랜드,비대,338
SKT,비대,213
비대,플랫폼,171
대표,비대,109
비대,이용자,130
비대,서비스,119
강의실,으로,106
강의실,대학,145
동기,으로,214
동기,하는,102
대학,동기,201
동기,에서,139
동기,이다,151
동기,취업,102
다양한,동기,104
동기,메타,174
동기,버스,174
동기,이프,156
동기,랜드,156
SKT,동기,108
신종,으로,147
대학,신종,164
으로,코로나바이러스,147
대학,코로나바이러스,164
감염증,으로,147
감염증,대학,164
모든,으로,224
교수,모든,100
모든,하는,124
모든,했다,137
대학,모든,284
모든,있다,112
모든,에서,154
모든,취업,103
모든,학과,115
모든,지원,230
모든,전문,107
교육,모든,215
으로,지난해,472
교수,지난해,102
지난해,하는,277
지난해,했다,244
대학,지난해,489
실습,지난해,110
지난해,코로나,160
있다,지난해,246
있는,지난해,169
에서,지난해,285
지난해,하고,267
